Items,Qty.,Price(USD),Link
Microcontroller (Raspberry Pi Pico RP2040),1,12$,https://www.amazon.com/gp/product/B08TVF499B/ref=ox_sc_act_image_7?smid=A2SA28G0M1VPHD&psc=1
Optical Sensor (PMW3360 salvaged),1,25$,https://www.amazon.com/gp/product/B07YN73XN6/ref=ox_sc_act_image_6?smid=A3BZ4PFG2UQP4O
Omron D2F-01F Microswitches,2,13$,https://www.amazon.com/gp/product/B0062WNDLI/ref=ox_sc_act_image_5?smid=A20VIERU7MNN7L&psc=1
MECCANIXITY 11mm Mouse Wheel Encoder,2,16$,https://www.amazon.com/gp/product/B0C14275KR/ref=ox_sc_act_image_4?smid=A1NR50YASSZD11&psc=1
 Resistor Assortment Ki,1,10$,https://www.amazon.com/gp/product/B08FD1XVL6/ref=ox_sc_act_image_3?smid=A2RFXKS6GNXFWP
Short USB to Dupont/Header Cable,1,10$,https://www.amazon.com/gp/product/B08D68JW4K/ref=ox_sc_act_image_2?smid=A2N4NU72MATLUW&psc=1
Universal PTFE Mouse Skates Dots,2,13$,https://www.amazon.com/gp/product/B0GK5DHL4T/ref=ox_sc_act_image_1?smid=AMTRPC4O50Y12
total printing cost,whole printing cost,8$,https://docs.google.com/document/d/1v0z8YAYk6on8Gc9-Y8T7KmDk4LBmk3RWNFWdm8gmc_I/edit?usp=sharing
pcb cost ,,15$,i am making it from local store
